"Figure 1: The number of live births has decreased over the last decade",""
"Number of live births, England and Wales, 1838 to 2022",""
"",""
"Notes",""
"Unit","Number of live births"
"",""
"Year ","Number of live births Total"
"1838","463787"
"1839","492574"
"1840","502303"
"1841","512158"
"1842","517739"
"1843","527325"
"1844","540763"
"1845","543521"
"1846","572625"
"1847","539965"
"1848","563059"
"1849","578159"
"1850","593422"
"1851","615865"
"1852","624012"
"1853","612391"
"1854","634405"
"1855","635043"
"1856","657453"
"1857","663071"
"1858","655481"
"1859","689881"
"1860","684048"
"1861","696406"
"1862","712684"
"1863","727417"
"1864","740275"
"1865","748069"
"1866","753870"
"1867","768349"
"1868","786858"
"1869","773381"
"1870","792787"
"1871","797428"
"1872","825907"
"1873","829778"
"1874","854956"
"1875","850607"
"1876","887968"
"1877","888200"
"1878","891906"
"1879","880389"
"1880","881643"
"1881","883642"
"1882","889014"
"1883","890722"
"1884","906750"
"1885","894270"
"1886","903760"
"1887","886331"
"1888","879868"
"1889","885944"
"1890","869937"
"1891","914157"
"1892","897957"
"1893","914572"
"1894","890289"
"1895","922291"
"1896","915331"
"1897","921683"
"1898","923165"
"1899","928646"
"1900","927062"
"1901","929807"
"1902","940509"
"1903","948271"
"1904","945389"
"1905","929293"
"1906","935081"
"1907","918042"
"1908","940383"
"1909","914472"
"1910","896962"
"1911","881138"
"1912","872737"
"1913","881890"
"1914","879096"
"1915","814614"
"1916","785520"
"1917","668346"
"1918","662661"
"1919","692438"
"1920","957782"
"1921","848814"
"1922","780124"
"1923","758131"
"1924","729933"
"1925","710582"
"1926","694563"
"1927","654172"
"1928","660267"
"1929","643673"
"1930","648811"
"1931","632081"
"1932","613972"
"1933","580413"
"1934","597642"
"1935","598756"
"1936","605292"
"1937","610557"
"1938","621204"
"1939","614479"
"1940","590120"
"1941","579091"
"1942","651503"
"1943","684334"
"1944","751478"
"1945","679937"
"1946","820719"
"1947","881026"
"1948","775306"
"1949","730518"
"1950","697097"
"1951","677529"
"1952","673735"
"1953","684372"
"1954","673651"
"1955","667811"
"1956","700335"
"1957","723381"
"1958","740715"
"1959","748501"
"1960","785005"
"1961","811281"
"1962","838736"
"1963","854055"
"1964","875972"
"1965","862725"
"1966","849823"
"1967","832164"
"1968","819272"
"1969","797538"
"1970","784486"
"1971","783155"
"1972","725440"
"1973","675953"
"1974","639885"
"1975","603445"
"1976","584270"
"1977","569259"
"1978","596418"
"1979","638028"
"1980","656234"
"1981","634492"
"1982","625931"
"1983","629134"
"1984","636818"
"1985","656417"
"1986","661018"
"1987","681511"
"1988","693577"
"1989","687725"
"1990","706140"
"1991","699217"
"1992","689656"
"1993","673467"
"1994","664726"
"1995","648138"
"1996","649485"
"1997","643095"
"1998","635901"
"1999","621872"
"2000","604441"
"2001","594634"
"2002","596122"
"2003","621469"
"2004","639721"
"2005","645835"
"2006","669601"
"2007","690013"
"2008","708711"
"2009","706248"
"2010","723165"
"2011","723913"
"2012","729674"
"2013","698512"
"2014","695233"
"2015","697852"
"2016","696271"
"2017","679106"
"2018","657076"
"2019","640370"
"2020","613936"
"2021","624828"
"2022","605479"
